symbol,name,currency,summary,category_group,category,family,exchange,mic
NNDF.AS,NN Dutch Fund - P,EUR,"NN Dutch Fund - P is a fund that invests primarily in Dutch equities, seeking to provide investors with long-term capital growth. The fund is managed by NN Investment Partners, a global asset manager headquartered in the Netherlands. The fund's specific investment criteria and sector allocation may vary.",Equities,Developed Markets,NN Investment Partners BV,AMS,XAMS
NNDM1.AS,NN Dynamic Mix Fund I - P,EUR,"NN Dynamic Mix Fund I - P is a mixed asset fund that invests in a combination of equities and fixed income instruments, dynamically adjusting its allocation based on market conditions. The fund aims to provide investors with a balance of capital growth and income while managing risk through diversification. Further details about the fund's specific investment strategy are not readily available.",Alternatives,Alternative,NN Investment Partners BV,AMS,XAMS
NNDM2.AS,NN Dynamic Mix Fund II - P,EUR,"NN Dynamic Mix Fund II - P is a mixed asset fund that invests in a combination of equities and fixed income instruments, dynamically adjusting its allocation based on market conditions. The fund aims to provide investors with a balance of capital growth and income while managing risk through diversification. Further details about the fund's specific investment strategy are not readily available.",Alternatives,Alternative,NN Investment Partners BV,AMS,XAMS
NNDM3.AS,NN Dynamic Mix Fund III - P,EUR,"NN Dynamic Mix Fund III - P is a mixed asset fund that invests in a combination of equities and fixed income instruments, dynamically adjusting its allocation based on market conditions. The fund aims to provide investors with a balance of capital growth and income while managing risk through diversification. Further details about the fund's specific investment strategy are not readily available.",Alternatives,Alternative,NN Investment Partners BV,AMS,XAMS
NNDM4.AS,NN Dynamic Mix Fund IV - P,EUR,"NN Dynamic Mix Fund IV - P is a mixed asset fund that invests in a combination of equities and fixed income instruments, dynamically adjusting its allocation based on market conditions. The fund aims to provide investors with a balance of capital growth and income while managing risk through diversification. Further details about the fund's specific investment strategy are not readily available.",Alternatives,Alternative,NN Investment Partners BV,AMS,XAMS
NNDM5.AS,NN Dynamic Mix Fund V - P,EUR,"NN Dynamic Mix Fund V - P is a mixed asset fund that invests in a combination of equities and fixed income instruments, dynamically adjusting its allocation based on market conditions. The fund aims to provide investors with a balance of capital growth and income while managing risk through diversification. Further details about the fund's specific investment strategy are not readily available.",Alternatives,Alternative,NN Investment Partners BV,AMS,XAMS
NNDZA.AS,NN Duurzaam Aandelen Fonds - P,EUR,"NN Duurzaam Aandelen Fonds - P is a sustainable equity fund that invests in companies with strong environmental, social, and governance (ESG) practices. The fund's objective is to generate long-term capital growth while promoting responsible investing. NN Investment Partners manages this fund, based in the Netherlands.",Equities,Equities,NN Investment Partners BV,AMS,XAMS
NNED.AS,NN Europees Deelnemingen Fonds - P,EUR,"NN Europees Deelnemingen Fonds - P is a fund that invests in European equities, focusing on companies with strong growth potential and/or dividend yields. The fund's objective is to provide investors with long-term capital appreciation and income. NN Investment Partners manages the fund from its base in the Netherlands.",Equities,Developed Markets,NN Investment Partners BV,AMS,XAMS
NNEDA.AS,NN Europa Duurzaam Aandelen Fonds N.V.,EUR,"NN Europa Duurzaam Aandelen Fonds N.V. is a sustainable European equity fund, investing in companies within Europe that demonstrate strong environmental, social, and governance (ESG) performance. The fund aims to provide long-term capital appreciation by selecting companies committed to sustainability. NN Investment Partners manages the fund.",Equities,Equities,,AMS,XAMS
NNEEF.AS,NN Emerging Europe Fund - P,EUR,NN Emerging Europe Fund - P is a fund that invests in equities of companies located in emerging European countries. The fund aims to provide investors with long-term capital growth by capitalizing on the growth potential of these economies. NN Investment Partners manages this fund.,Equities,Emerging Markets,NN Investment Partners BV,AMS,XAMS
NNEIF.AS,NN Equity Investment Fund N.V.,EUR,NN Equity Investment Fund N.V. is an equity fund investing in a diversified portfolio of stocks. The fund's specific investment objective and strategy depend on the particular mandate or focus as defined by NN Investment Partners. The fund is managed by NN Investment Partners.,Equities,Equities,,AMS,XAMS
NNEME.AS,NN Enhanced Index Sustainable Emerging Markets Equity Fund,EUR,NN Enhanced Index Sustainable Emerging Markets Equity Fund is an equity fund that aims to replicate the performance of a sustainable emerging markets equity index. The fund enhances its index tracking by incorporating ESG factors into its investment process. NN Investment Partners manages this fund.,Equities,Emerging Markets,,AMS,XAMS
NNENH.AS,Nn Paraplufonds I N.V. - Nn Enhanced Index Sustainable North America Equity Fund,EUR,"Nn Paraplufonds I N.V. - Nn Enhanced Index Sustainable North America Equity Fund is an equity fund focused on North American companies while integrating sustainability criteria. The fund enhances its index tracking strategy by overweighting companies with strong Environmental, Social, and Governance (ESG) factors. NN Investment Partners manages this fund.",Equities,Equities,,AMS,XAMS
NNEOF.AS,NN Euro Obligatie Fonds P,EUR,NN Euro Obligatie Fonds P is a bond fund that invests primarily in Euro-denominated bonds. The fund aims to provide investors with a steady stream of income while preserving capital. NN Investment Partners manages this fund.,Fixed Income,Bonds,NN Investment Partners BV,AMS,XAMS
NNESA.AS,Delta Lloyd Asset Management NV - Delta Lloyd Equity Sustainable Global Fund,EUR,"Delta Lloyd Asset Management NV - Delta Lloyd Equity Sustainable Global Fund is a global equity fund focused on sustainable investments. The fund invests in companies worldwide that demonstrate strong environmental, social, and governance (ESG) practices. The fund is managed by Delta Lloyd Asset Management, part of NN Investment Partners.",Equities,Equities,,AMS,XAMS
NNESC.AS,NN Europe Small Caps Fund - P,EUR,NN Europe Small Caps Fund - P is a fund that invests in small-capitalization companies located in Europe. The fund's objective is to provide investors with long-term capital growth by investing in these potentially high-growth companies. NN Investment Partners manages the fund.,Equities,Small Cap,NN Investment Partners BV,AMS,XAMS
NNEUF.AS,NN Europe Fund - P,EUR,NN Europe Fund - P is a fund that invests in a broad range of European equities. The fund's objective is to provide investors with long-term capital growth by investing in established and growing companies across various sectors in Europe. NN Investment Partners manages this fund.,Equities,Developed Markets,NN Investment Partners BV,AMS,XAMS
NNFCO.AS,Ing First Class Obligate Fond 30,EUR,,Fixed Income,,,AMS,XAMS
NNGLF.AS,NN Global Fund - P,EUR,NN Global Fund - P is a fund that invests in a diversified portfolio of global equities. The fund aims to provide investors with long-term capital growth by investing in companies across various countries and sectors worldwide. NN Investment Partners manages the fund.,Equities,Developed Markets,NN Investment Partners BV,AMS,XAMS
NNGLO.AS,NN Global Obligatie Fonds - P,EUR,NN Global Obligatie Fonds - P is a global bond fund that invests in a diversified portfolio of fixed-income securities from around the world. The fund aims to provide investors with a steady stream of income while managing risk through diversification across different countries and currencies. NN Investment Partners manages this fund.,Fixed Income,Bonds,NN Investment Partners BV,AMS,XAMS
NNGLR.AS,NN Global Real Estate Fund - P,EUR,NN Global Real Estate Fund - P is a fund that invests in a diversified portfolio of real estate companies and REITs (Real Estate Investment Trusts) globally. The fund seeks to provide investors with long-term capital appreciation and income through exposure to the global real estate market. NN Investment Partners manages this fund.,Real Estate,REITs,NN Investment Partners BV,AMS,XAMS
NNGOF.AS,NN Global Sustainable Opportunities Fund - P,EUR,NN Global Sustainable Opportunities Fund - P is a global equity fund that invests in companies that contribute to sustainable development and address global challenges. The fund aims to generate long-term capital growth while promoting responsible investing. NN Investment Partners manages the fund from its base in the Netherlands.,Equities,Equities,NN Investment Partners BV,AMS,XAMS
NNHDA.AS,NN Hoog Dividend Aandelen Fonds - P,EUR,NN Hoog Dividend Aandelen Fonds - P is a high dividend equity fund that invests in companies with a history of paying high dividends. The fund's objective is to provide investors with a steady stream of income while potentially achieving capital appreciation. NN Investment Partners manages this fund.,Equities,Equities,NN Investment Partners BV,AMS,XAMS
NNHDO.AS,NN Hoog Dividend Obligatie Fonds P,EUR,NN Hoog Dividend Obligatie Fonds P is a high-dividend bond fund focusing on fixed-income securities that offer attractive dividend yields. The fund seeks to provide investors with a stable income stream and potential capital appreciation by investing in a diversified portfolio of high-yielding bonds. NN Investment Partners manages this fund.,Fixed Income,Bonds,NN Investment Partners BV,AMS,XAMS
NNJPF.AS,NN Japan Fund - P,EUR,NN Japan Fund - P is a fund that invests primarily in Japanese equities. The fund aims to provide investors with long-term capital growth by investing in companies across various sectors of the Japanese economy. NN Investment Partners manages this fund.,Equities,Developed Markets,NN Investment Partners BV,AMS,XAMS
NNLF.AS,NN Lion Fund - P,EUR,,Equities,Allocation,NN Investment Partners BV,AMS,XAMS
NNLRF.AS,Delta Lloyd Rente Fonds N.V.,EUR,"Delta Lloyd Rente Fonds N.V. is a bond fund managed by Delta Lloyd Asset Management, a part of NN Investment Partners. The fund invests in a portfolio of fixed-income securities, aiming to provide investors with a stable income stream and capital preservation. The specific investment strategy and focus may vary depending on the fund's mandate.",Fixed Income,Bonds,,AMS,XAMS
NNMIX.AS,Delta Lloyd Mix Fonds N.V.,EUR,"Delta Lloyd Mix Fonds N.V. is a mixed-asset fund managed by Delta Lloyd Asset Management, part of NN Investment Partners. The fund invests in a combination of equities and fixed-income securities, aiming to provide investors with a balance of capital growth and income. The allocation between asset classes is actively managed based on market conditions.",Alternatives,Alternative,,AMS,XAMS
NNNA.AS,NN North America Fund - P,EUR,"NN North America Fund - P is a fund that invests primarily in North American equities, focusing on companies listed in the United States and Canada. The fund aims to provide investors with long-term capital growth by investing in a diversified portfolio of North American businesses. NN Investment Partners manages the fund.",Equities,Developed Markets,NN Investment Partners BV,AMS,XAMS
NNPDF.AS,NN Premium Dividend Fund - P,EUR,NN Premium Dividend Fund - P is a dividend-focused equity fund. The fund invests in companies that offer high dividend yields and aims to provide investors with a steady income stream alongside potential capital appreciation. NN Investment Partners manages this fund.,Equities,Equities,NN Investment Partners BV,AMS,XAMS
NNSXL.AS,Delta Llyod Sovereign - XLT Bond Fund,EUR,"Delta Llyod Sovereign - XLT Bond Fund is a bond fund that invests primarily in sovereign debt. It is managed by Delta Lloyd (likely now part of NN Investment Partners) and seeks to provide income and capital preservation. The focus on ""XLT"" suggests a potential extended long-term investment horizon.",Fixed Income,Bonds,,AMS,XAMS
OBAM.AS,OBAM N.V. - Classic,EUR,,Equities,World,OBAM Investment Management B.V.,AMS,XAMS
OPEMF.AS,Optimix Emerging Markets Fund,EUR,Optimix Emerging Markets Fund is a fund that invests in a diversified portfolio of companies located in emerging markets around the world. The fund aims to achieve long-term capital appreciation by identifying companies with strong growth potential in developing economies.,Equities,Emerging Markets,Optimix Vermogensbeheer N.V.,AMS,XAMS
OPERF.AS,Optimix EuroRente Fonds,EUR,Optimix EuroRente Fonds is a fixed-income fund that invests primarily in Euro-denominated bonds. The fund aims to generate income and capital appreciation by actively managing a portfolio of European government and corporate bonds.,Fixed Income,Bonds,Optimix Vermogensbeheer N.V.,AMS,XAMS
OPTIN.AS,Optimix Income Fund,EUR,Optimix Income Fund is a fund focused on generating income through investments in a variety of asset classes. The fund aims to provide a steady stream of income to investors while maintaining a moderate level of risk.,Fixed Income,Bonds,Optimix Vermogensbeheer N.V.,AMS,XAMS
OPTMF.AS,Optimix Mix Fund,EUR,"Optimix Mix Fund is a mixed asset fund that invests in a combination of stocks and bonds. The fund aims to provide a balanced approach to investing, seeking both capital appreciation and income.",Financials,Blend,Optimix Vermogensbeheer N.V.,AMS,XAMS
OPWAF.AS,Optimix Wereld Aandelen Fonds,EUR,Optimix Wereld Aandelen Fonds is an equity fund that invests in a diversified portfolio of stocks from around the world. The fund aims to achieve long-term capital appreciation by investing in companies with strong growth potential across various sectors and regions.,Equities,Equities,Optimix Vermogensbeheer N.V.,AMS,XAMS
RAFRI.AS,Robeco Afrika Fonds,EUR,"Robeco Afrika Fonds is a fund that invests in companies operating in or related to the African continent. The fund seeks to generate long-term capital appreciation by focusing on companies that benefit from the growth and development of Africa. Robeco is an international asset manager with headquarters in Rotterdam, Netherlands.",Equities,Emerging Markets,Robeco Institutional Asset Mgmt BV,AMS,XAMS
REEF.AS,Insinger de Beaufort Umbrella Fund N.V. - Insinger de Beaufort Real Estate Equity Fund,EUR,"Insinger de Beaufort Umbrella Fund N.V. - Insinger de Beaufort Real Estate Equity Fund is a sub-fund of an umbrella fund, focusing on real estate equity investments. The fund invests in a portfolio of publicly traded real estate companies. The fund aims to provide investors with exposure to the real estate sector through listed equities.",Real Estate,REITs,,AMS,XAMS
ROBA.AS,Robeco Sustainable Global Stars Fund N.V.,EUR,"Robeco Sustainable Global Stars Fund N.V. focuses on investing in equities of companies worldwide that demonstrate superior sustainability practices and robust financial performance. The fund aims to deliver long-term capital appreciation while adhering to strict environmental, social, and governance (ESG) criteria. Robeco, headquartered in Rotterdam, Netherlands, manages the fund.",Equities,Equities,,AMS,XAMS
ROBB.AS,Robeco Sustainable Global Stars Equities Fund EUR G,EUR,"Robeco Sustainable Global Stars Equities Fund EUR G is a sub-fund of Robeco Capital Growth Funds, a Luxembourg-based SICAV. It invests in equities worldwide, selecting companies with sustainable business practices. The fund's objective is to achieve capital appreciation by investing in companies with above-average growth prospects and sustainable competitive advantages.",Equities,Equities,Robeco Institutional Asset Mgmt BV,AMS,XAMS
ROBC.AS,Robeco US Conservative High Dividend Equities N.V. EUR G,EUR,"The Robeco US Conservative High Dividend Equities N.V. EUR G is an equity fund that invests primarily in US stocks with high dividend yields and lower volatility than the overall market. The fund aims to provide investors with a combination of income and capital appreciation while managing risk. The fund uses a conservative approach, focusing on companies with stable cash flows and a history of paying dividends.",Equities,Equities,Robeco Institutional Asset Mgmt BV,AMS,XAMS
ROBF.AS,Robeco Afrika Fonds - EUR G,EUR,"Robeco Afrika Fonds - EUR G aims to achieve long-term capital growth by investing in companies that operate in or have economic ties to African countries. The fund focuses on companies with strong growth potential and sustainable business models, across various sectors. Robeco, headquartered in Rotterdam, Netherlands, manages the fund.",Equities,Emerging Markets,Robeco Institutional Asset Mgmt BV,AMS,XAMS
ROCO.AS,Robeco QI Global Developed Conservative Equities Fund G &#226;&#130;&#172;,EUR,"The Robeco QI Global Developed Conservative Equities Fund G is an equity fund that invests in developed market equities worldwide, selected for their low volatility characteristics. The fund aims to provide investors with equity market exposure while exhibiting lower risk compared to the broader market. The fund utilizes a quantitative investment process to identify and select stocks with the desired risk profile.",Equities,Equities,Robeco Institutional Asset Mgmt BV,AMS,XAMS
ROLA.AS,Rolinco N.V.,EUR,Rolinco N.V. is an investment company focused on investing in companies involved in new technologies and their applications. It operates as a closed-end fund and aims to achieve long-term capital growth by identifying and investing in innovative businesses across various sectors. Rolinco N.V. is based in the Netherlands.,Information Technology,Technology,,AMS,XAMS
ROLG.AS,Rolinco N.V. EUR G,EUR,"Rolinco N.V. EUR G is a share class of Rolinco N.V., an investment company that focuses on long-term capital growth by investing in global companies involved in technological innovation and their applications. The fund aims to identify and invest in companies that are leaders in their respective fields, across various sectors. Rolinco N.V. is based in the Netherlands and seeks to provide investors with exposure to technological advancements.",Information Technology,Technology,Robeco Institutional Asset Mgmt BV,AMS,XAMS
ROLPR.AS,Rolinco N.V.,EUR,"Rolinco N.V. is an investment company incorporated in the Netherlands. It invests in a globally diversified portfolio of listed equities, primarily focusing on companies with long-term growth potential. The company aims to provide shareholders with capital appreciation over the long term.",Equities,Equities,,AMS,XAMS
ROMF.AS,Robeco QI Global Multi-Factor Equities Fund G &#226;&#130;&#172;,EUR,"The Robeco QI Global Multi-Factor Equities Fund G is an equity fund that invests globally, employing a quantitative investment strategy to select stocks based on multiple factors, such as value, momentum, quality, and low volatility. The fund seeks to achieve long-term capital appreciation by systematically exploiting these factors. The investment process aims to construct a well-diversified portfolio that outperforms the broader market.",Equities,Factors,Robeco Institutional Asset Mgmt BV,AMS,XAMS
ROQI.AS,Robeco QI Global Developed Enhanced Index Equities Fund - EUR G,EUR,"The Robeco QI Global Developed Enhanced Index Equities Fund - EUR G is an equity fund that invests in developed market equities globally, aiming to outperform the MSCI World Index. The fund uses a quantitative investment strategy to enhance returns while maintaining a risk profile similar to the index. The fund seeks to achieve its objective by tilting its portfolio towards stocks with attractive characteristics identified through its quantitative models.",Equities,Equities,Robeco Institutional Asset Mgmt BV,AMS,XAMS
RORA.AS,Robeco Global Total Return Bond Fund,EUR,"Robeco Global Total Return Bond Fund is a fixed income fund that invests in a diversified portfolio of global bonds, aiming to achieve a positive total return. The fund invests in government bonds, corporate bonds, and other fixed income securities from around the world. The fund's investment strategy involves active management of interest rate risk, credit risk, and currency risk to enhance returns.",Fixed Income,Bonds,,AMS,XAMS
SEIF.AS,Sustainable Europe Index Fund,EUR,"Sustainable Europe Index Fund is an exchange-traded fund (ETF) or mutual fund that tracks an index of European companies that meet specific sustainability criteria. It aims to provide investors with exposure to companies demonstrating strong environmental, social, and governance (ESG) practices. The fund's performance will be closely tied to the performance of the underlying sustainability index.",Equities,Developed Markets,InsingerGilissen Asset Management N.V.,AMS,XAMS
SNAIF.AS,Sustainable North America Index Fund,EUR,"The Sustainable North America Index Fund aims to track the performance of an index composed of North American companies that meet specific sustainability criteria. The fund invests in equities of companies within North America while adhering to ESG (environmental, social, and governance) standards. The fund is based in Europe.",Equities,Equities,InsingerGilissen Asset Management N.V.,AMS,XAMS
SWIF.AS,Sustainable World Index Fund,EUR,"Sustainable World Index Fund aims to track the performance of an index composed of companies with high environmental, social, and governance (ESG) ratings. The fund invests in equities of companies worldwide that meet specific sustainability criteria. It is managed by a European asset manager given the "".AS"" extension.",Equities,Equities,InsingerGilissen Asset Management N.V.,AMS,XAMS
TCMAF.AS,TCM Africa High Dividend Equity,EUR,TCM Africa High Dividend Equity is an investment fund focused on African equities with high dividend yields. The fund aims to provide investors with a combination of income and capital appreciation by investing in a diversified portfolio of companies listed on African stock exchanges. The fund is managed by TCM Investment Funds.,Equities,Equities,Trustus Capital Management BV,AMS,XAMS
TCMGF.AS,TCM Global Frontier High Dividend Equity,EUR,TCM Global Frontier High Dividend Equity is an investment fund focused on frontier market equities with high dividend yields. The fund aims to provide investors with a combination of income and capital appreciation by investing in a diversified portfolio of companies listed on frontier market stock exchanges. The fund is managed by TCM Investment Funds.,Equities,Frontier Markets,Trustus Capital Management BV,AMS,XAMS
TCMVN.AS,TCM Vietnam High Dividend Equity,EUR,TCM Vietnam High Dividend Equity is an investment fund focused on Vietnamese equities with high dividend yields. The fund aims to provide investors with a combination of income and capital appreciation by investing in a diversified portfolio of companies listed on the Vietnam stock exchange. The fund is managed by TCM Investment Funds.,Equities,Equities,Trustus Capital Management BV,AMS,XAMS
TETEF.AS,Triodos Impact Strategies II N.V. - Triodos Renewables Europe Fund,EUR,"Triodos Impact Strategies II N.V. - Triodos Renewables Europe Fund focuses on investing in renewable energy projects throughout Europe. The fund, managed by Triodos Investment Management, supports the transition to a sustainable energy system by providing capital to companies and projects involved in renewable energy generation, distribution, and related technologies. Headquartered in the Netherlands, Triodos Investment Management is a global leader in impact investing, dedicated to generating both financial returns and positive social and environmental impact.",Equities,Energy,,AMS,XAMS
TFSF.AS,Triodos Fair Share Fund Inc,EUR,"Triodos Fair Share Fund Inc invests in microfinance institutions and fair trade organizations in developing countries. Managed by Triodos Investment Management, the fund aims to promote financial inclusion and sustainable development by providing capital and support to organizations that serve low-income communities. Headquartered in the Netherlands, Triodos Investment Management is a global leader in impact investing.",Financials,Emerging Markets,Triodos Investment Management B.V.,AMS,XAMS
THXLE.AS,Legends Fund,EUR,,Alternative,Alternative,Theta Capital Management BV,AMS,XAMS
TMIF.AS,Triodos Multi Impact Fund Z Inc,EUR,"The Triodos Multi Impact Fund Z Inc invests in companies and projects that generate positive social and environmental impact alongside financial returns. It is managed by Triodos Investment Management, a firm known for its sustainable and ethical investment approach and is based in the Netherlands. The specific investment criteria and impact themes would be defined in the fund's documentation.",Alternatives,Emerging Markets,Triodos Investment Management B.V.,AMS,XAMS
TRIGF.AS,Triodos Groenfonds NV,EUR,"The Triodos Groenfonds NV is a Dutch green fund that invests in projects and companies that contribute to sustainable development and environmental protection in the Netherlands. It focuses on sectors such as renewable energy, sustainable agriculture, and energy efficiency. Triodos Bank manages the fund, promoting responsible and impact investing.",Financials,Bonds,,AMS,XAMS
WPSEU.AS,W.P. Stewart Holdings Fund Class A EUR Acc,EUR,,Equities,United States,AllianceBernstein,AMS,XAMS
WPSH.AS,W.P. Stewart Holdings,USD,"W.P. Stewart Holdings is a global asset management firm that focuses on managing investments for institutions and high-net-worth individuals. The firm utilizes a growth-oriented investment approach, seeking to identify companies with sustainable competitive advantages and long-term growth potential. W.P. Stewart Holdings is headquartered in New York City.",Financials,United States,AllianceBernstein,AMS,XAMS
